page,startDate,endDate,name,url,addressCountry,addressLocality,addressRegion,streetAddress,postalCode,latitude,longitude,locationName,id
44,2023-06-18,2023-06-18,You Having A Laugh?! English Standup Comedy Showcase #19,https://www.eventbrite.com/e/you-having-a-laugh-english-standup-comedy-showcase-19-tickets-642253105327,DE,Berlin,BE,Stargarder Straße 33,10437.0,52.5436549,13.4244158,La Minga,642253105327
44,2023-06-07,2023-06-07,Werner Fritsch: „Steinbruch“,https://www.eventbrite.com/e/werner-fritsch-steinbruch-tickets-617632263727,DE,Berlin,BE,Torstraße 218,10115.0,52.5274009,13.3894661,Galerie & Bar Tor218 Artlab,617632263727
44,2023-06-20,2023-06-20,Psychologische Sicherheit im Team,https://www.eventbrite.de/e/psychologische-sicherheit-im-team-tickets-648986294477,DE,Berlin,BE,Karl-Marx-Straße 12,12043.0,52.485339,13.425923,INNOKI – Innovationsberatung,648986294477
50,2023-06-14,2023-06-14,Gemeinsam Malen - Spachtel BiColor,https://www.eventbrite.de/e/gemeinsam-malen-spachtel-bicolor-tickets-632581246537,DE,Berlin,BE,Stephanstraße 18,10559.0,52.5342488,13.3492188,Stephanstraße 18,632581246537
50,2023-06-07,2023-06-07,Gemeinsam Formen - Epoxy Block,https://www.eventbrite.de/e/gemeinsam-formen-epoxy-block-tickets-632573062057,DE,Berlin,BE,Stephanstraße 18,10559.0,52.5342488,13.3492188,Stephanstraße 18,632573062057
50,2023-06-10,2023-06-11,"Intoxication w. Reality Test, Memento Mori, Si-Moon",https://www.eventbrite.de/e/intoxication-w-reality-test-memento-mori-si-moon-tickets-642908906847,DE,Berlin,BE,Dircksenstraße 123,10178.0,52.52263790000001,13.4092318,M-Bia,642908906847
50,2023-06-16,2023-06-16,Hungarian Wine Tasting,https://www.eventbrite.de/e/hungarian-wine-tasting-tickets-648922904877,DE,Berlin,Berlin,Köpenicker Straße 40,10179.0,52.5086808,13.425587,Denizen,648922904877
50,2023-06-24,2023-06-24,Q&A Session: Prof. Schölmerich & Studierende | New Work & Business Coaching,https://www.eventbrite.de/e/qa-session-prof-scholmerich-studierende-new-work-business-coaching-registrierung-641213917087,DE,Berlin,BE,Ernst-Reuter-Platz 10,10587.0,52.51364269999999,13.3220059,SRH Hochschule Berlin,641213917087
50,2023-06-29,2023-06-29,the sleepover [comedy game show!],https://www.eventbrite.com/e/the-sleepover-comedy-game-show-tickets-648174987837,DE,Berlin,BE,Pestalozzistraße 5-8,13187.0,52.5719503,13.403387,The Base Berlin One - Mikro Apartments | Community | Coworking | Fitness | Café & Bar,648174987837
50,2023-06-07,2023-06-07,Laborführung am FB Physik der FU Berlin - für Studieninteressierte,https://www.eventbrite.com/e/laborfuhrung-am-fb-physik-der-fu-berlin-fur-studieninteressierte-tickets-646467480637,DE,Berlin,BE,Arnimallee 14,14195.0,52.4561083,13.2955717,Berlin,646467480637
50,2023-06-11,2023-06-11,Discover Romanian Cuisine - 6-Course Fine Dining & Wine Pairing,https://www.eventbrite.de/e/discover-romanian-cuisine-6-course-fine-dining-wine-pairing-tickets-641616441047,DE,Berlin,BE,Straßburger Straße 37,10405.0,52.5315609,13.4152365,The Makery,641616441047
50,2023-06-30,2023-07-01,Aftershow Party Gymnasium Steglitz 2023,https://www.eventbrite.de/e/aftershow-party-gymnasium-steglitz-2023-tickets-648190504247,DE,Berlin,Berlin,Columbiadamm 13-21,10965.0,52.48464999999999,13.39221,Columbiahalle,648190504247
